prompt_id,num_correct,pass_at_1,pass_at_32
gsm8k_validation_00000,453,0.884765625,1.0
gsm8k_validation_00001,50,0.09765625,0.9665572479213965
gsm8k_validation_00002,185,0.361328125,0.9999996707426031
gsm8k_validation_00003,2,0.00390625,0.12120841487279843
gsm8k_validation_00004,267,0.521484375,0.9999999999815171
gsm8k_validation_00005,252,0.4921875,0.9999999998593987
gsm8k_validation_00006,169,0.330078125,0.9999983623448044
gsm8k_validation_00007,305,0.595703125,0.9999999999999443
gsm8k_validation_00008,391,0.763671875,1.0
gsm8k_validation_00009,372,0.7265625,1.0
gsm8k_validation_00010,195,0.380859375,0.999999884213034
gsm8k_validation_00011,449,0.876953125,1.0
gsm8k_validation_00012,99,0.193359375,0.9991908574292968
gsm8k_validation_00013,231,0.451171875,0.999999998029213
gsm8k_validation_00014,297,0.580078125,0.9999999999997928
gsm8k_validation_00015,120,0.234375,0.9998576734757635
gsm8k_validation_00016,288,0.5625,0.9999999999991475
gsm8k_validation_00017,306,0.59765625,0.9999999999999529
gsm8k_validation_00018,51,0.099609375,0.9688736290177501
gsm8k_validation_00019,434,0.84765625,1.0
gsm8k_validation_00020,15,0.029296875,0.625447168463267
gsm8k_validation_00021,310,0.60546875,0.9999999999999761
gsm8k_validation_00022,14,0.02734375,0.5997268023491567
gsm8k_validation_00023,304,0.59375,0.9999999999999342
gsm8k_validation_00024,62,0.12109375,0.9860195340124581
gsm8k_validation_00025,250,0.48828125,0.9999999998174559
gsm8k_validation_00026,64,0.125,0.9879392273970578
gsm8k_validation_00027,353,0.689453125,1.0
gsm8k_validation_00028,108,0.2109375,0.999611336599136
gsm8k_validation_00029,6,0.01171875,0.3224004675972123
gsm8k_validation_00030,252,0.4921875,0.9999999998593987
gsm8k_validation_00031,72,0.140625,0.9933658514787809
gsm8k_validation_00032,228,0.4453125,0.9999999971752548
gsm8k_validation_00033,137,0.267578125,0.9999675835043224
gsm8k_validation_00034,429,0.837890625,1.0
gsm8k_validation_00035,131,0.255859375,0.9999449259442857
gsm8k_validation_00036,303,0.591796875,0.9999999999999222
gsm8k_validation_00037,220,0.4296875,0.9999999927643772
gsm8k_validation_00038,57,0.111328125,0.9798347389782548
gsm8k_validation_00039,171,0.333984375,0.9999986540642644
gsm8k_validation_00040,24,0.046875,0.7952653082756964
gsm8k_validation_00041,151,0.294921875,0.99999091427402
gsm8k_validation_00042,294,0.57421875,0.9999999999996657
gsm8k_validation_00043,302,0.58984375,0.9999999999999082
gsm8k_validation_00044,6,0.01171875,0.3224004675972123
gsm8k_validation_00045,227,0.443359375,0.9999999968179747
gsm8k_validation_00046,12,0.0234375,0.5430545818285224
gsm8k_validation_00047,303,0.591796875,0.9999999999999222
gsm8k_validation_00048,94,0.18359375,0.9987926372833745
gsm8k_validation_00049,123,0.240234375,0.9998898363319031
gsm8k_validation_00050,68,0.1328125,0.9910425056577723
gsm8k_validation_00051,9,0.017578125,0.4432218966329915
gsm8k_validation_00052,472,0.921875,1.0
gsm8k_validation_00053,374,0.73046875,1.0
gsm8k_validation_00054,94,0.18359375,0.9987926372833745
gsm8k_validation_00055,326,0.63671875,0.9999999999999987
gsm8k_validation_00056,258,0.50390625,0.9999999999365856
gsm8k_validation_00057,57,0.111328125,0.9798347389782548
gsm8k_validation_00058,110,0.21484375,0.9996705389450407
gsm8k_validation_00059,15,0.029296875,0.625447168463267
gsm8k_validation_00060,230,0.44921875,0.9999999977769524
gsm8k_validation_00061,105,0.205078125,0.9995027927979497
gsm8k_validation_00062,218,0.42578125,0.9999999908851596
gsm8k_validation_00063,214,0.41796875,0.9999999856070995
gsm8k_validation_00064,56,0.109375,0.9783128324860476
gsm8k_validation_00065,210,0.41015625,0.9999999774185353
gsm8k_validation_00066,26,0.05078125,0.8212611764947719
gsm8k_validation_00067,325,0.634765625,0.9999999999999983
gsm8k_validation_00068,10,0.01953125,0.4786431676225428
gsm8k_validation_00069,197,0.384765625,0.9999999064429479
gsm8k_validation_00070,341,0.666015625,0.9999999999999999
gsm8k_validation_00071,103,0.201171875,0.999414682260423
gsm8k_validation_00072,388,0.7578125,1.0
gsm8k_validation_00073,195,0.380859375,0.999999884213034
gsm8k_validation_00074,42,0.08203125,0.9409522507311175
gsm8k_validation_00075,156,0.3046875,0.9999943033085685
gsm8k_validation_00076,230,0.44921875,0.9999999977769524
gsm8k_validation_00077,64,0.125,0.9879392273970578
gsm8k_validation_00078,247,0.482421875,0.9999999997310216
gsm8k_validation_00079,30,0.05859375,0.8640067269797213
gsm8k_validation_00080,143,0.279296875,0.9999810893825244
gsm8k_validation_00081,7,0.013671875,0.3652526119388907
gsm8k_validation_00082,67,0.130859375,0.9903484625126118
gsm8k_validation_00083,6,0.01171875,0.3224004675972123
gsm8k_validation_00084,1,0.001953125,0.0625
gsm8k_validation_00085,348,0.6796875,1.0
gsm8k_validation_00086,241,0.470703125,0.9999999994240144
gsm8k_validation_00087,28,0.0546875,0.84404656603567
gsm8k_validation_00088,81,0.158203125,0.9966593745584406
gsm8k_validation_00089,96,0.1875,0.9989706253753875
gsm8k_validation_00090,24,0.046875,0.7952653082756964
gsm8k_validation_00091,265,0.517578125,0.999999999975591
gsm8k_validation_00092,92,0.1796875,0.9985849936674409
gsm8k_validation_00093,45,0.087890625,0.9522329048729926
gsm8k_validation_00094,29,0.056640625,0.8543575368762868
gsm8k_validation_00095,52,0.1015625,0.9710342447909214
gsm8k_validation_00096,466,0.91015625,1.0
gsm8k_validation_00097,145,0.283203125,0.9999842311252651
gsm8k_validation_00098,243,0.474609375,0.9999999995522316
gsm8k_validation_00099,46,0.08984375,0.9555060248816954
gsm8k_validation_00100,238,0.46484375,0.9999999991627598
gsm8k_validation_00101,419,0.818359375,1.0
gsm8k_validation_00102,410,0.80078125,1.0
gsm8k_validation_00103,126,0.24609375,0.9999149072296166
gsm8k_validation_00104,11,0.021484375,0.5118770692880379
gsm8k_validation_00105,230,0.44921875,0.9999999977769524
