n,iid_plugin_pass_at_n,finite_sample_exact_pass_at_n,difference
1,0.125,0.125,0.0
2,0.234375,0.23790322580645162,0.0035282258064516236
3,0.330078125,0.33951612903225803,0.00943800403225803
4,0.413818359375,0.43061735261401557,0.01679899323901557
5,0.487091064453125,0.5119577308120133,0.024866666358888345
6,0.5512046813964844,0.5842602892102335,0.033055607813749166
7,0.6073040962219238,0.6482202447163515,0.040916148494427707
8,0.6563910841941833,0.7045050055617352,0.04811392136755188
9,0.6993421986699104,0.7537541713014461,0.05441197263153563
10,0.7369244238361716,0.796579532814238,0.05965510897806636
11,0.7698088708566502,0.8335650723025584,0.06375620144590821
12,0.7985827619995689,0.8652669632925473,0.06668420129297836
13,0.8237599167496228,0.8922135706340378,0.06845365388441504
14,0.8457899271559199,0.9149054505005562,0.06911552334463622
15,0.86506618626143,0.9338153503893214,0.06874916412789145
16,0.8819329129787512,0.9493882091212458,0.06745529614249457
17,0.8966912988564073,0.9620411568409344,0.06534985798452708
18,0.9096048864993564,0.9721635150166852,0.06255862851732874
19,0.9209042756869368,0.9801167964404894,0.059212520753552655
20,0.9307912412260697,0.9862347052280311,0.05544346400196143
21,0.939442336072811,0.9908231368186874,0.051380800745876365
22,0.9470120440637096,0.9941601779755284,0.04714813391181871
23,0.9536355385557459,0.996496106785317,0.04286056822957107
24,0.9594310962362776,0.9980533926585095,0.038622296422231805
25,0.964502209206743,0.9990266963292548,0.03452448712251177
26,0.9689394330559001,0.9995828698553949,0.030643436799494772
27,0.9728220039239126,0.999860956618465,0.027038952694552365
28,0.9762192534334235,0.999972191323693,0.023752937890269443
29,0.9791918467542455,1.0,0.020808153245754468
30,0.9817928659099648,1.0,0.01820713409003516
31,0.9840687576712193,1.0,0.015931242328780737
32,0.9860601629623169,1.0,0.01393983703768309
